,file_id,num_vertices,num_faces,num_geometrical_degenerated_faces,num_combinatorial_degenerated_faces,num_connected_components,num_boundary_edges,num_duplicated_faces,euler_characteristic,num_self_intersections,num_coplanar_intersecting_faces,vertex_manifold,edge_manifold,oriented,total_area,min_area,p25_area,median_area,p75_area,p90_area,p95_area,max_area,min_valance,p25_valance,median_valance,p75_valance,p90_valance,p95_valance,max_valance,min_dihedral_angle,p25_dihedral_angle,median_dihedral_angle,p75_dihedral_angle,p90_dihedral_angle,p95_dihedral_angle,max_dihedral_angle,min_aspect_ratio,p25_aspect_ratio,median_aspect_ratio,p75_aspect_ratio,p90_aspect_ratio,p95_aspect_ratio,max_aspect_ratio,solid,ave_area,ave_valance,ave_dihedral_angle,ave_aspect_ratio
0,100026,117,270,11,0,1,0,0,-10,41,18,0,0,0,24024.20393,0.0,22.8159205,53.54997278,81.23129,174.7125975,367.2148956,796.6826199,3.0,5.0,7.0,8.0,9.4,11.0,13.0,0.0,0.0,0.0,1.570796327,1.570796327,1.570796327,1.577218638,1.105864818,2.23525745,6.31051393,12.16596852,46.81193721,781.6520033,28937.85965,0,88.97853307,6.786324786,0.6870289333,430.6460443
1,100029,202,452,20,0,2,2,0,-21,78,26,0,0,0,24817.58126,0.0,14.55259478,19.71904345,68.79913375,124.9708316,194.2582966,540.6714574,3.0,6.0,6.0,7.0,8.9,9.0,15.0,0.0,0.0,0.01117918786,1.570796327,1.570796327,1.824602858,3.12418108,-726711918949712.0,3.448580634,5.883754653,13.94346674,43.72881684,236.363485,361340.1087,0,54.90615324,6.683168317,0.6642321312,-1678318516407.0
2,100031,310,640,0,0,1,0,0,-10,0,0,0,1,0,4816.206946,0.07567856245,0.9848702064,1.160953922,7.77517327,14.5135339,25.34571425,107.9991753,4.0,5.0,6.0,6.0,8.0,11.0,23.0,0.0,0.0,0.0003291952983,1.570796327,1.570796327,1.570796327,3.140983045,1.001692656,3.321478371,4.097339781,53.18837851,301.2634204,907.0334259,1623939.065,0,7.525323353,6.193548387,0.5563367376,7135.917661
3,100032,1516,3128,2,0,5,0,0,-48,6,0,0,1,0,23660.22268,0.0,0.7399876349,1.01889191,6.579324848,12.41515712,36.59274448,195.340985,4.0,5.0,6.0,6.0,7.5,9.0,26.0,0.0,0.0,1.08e-05,1.570796327,1.570796327,1.570796327,3.141075083,1.003158191,3.660421152,5.878337865,62.33363564,258.5756732,767.3840132,1775330.153,0,7.564009807,6.189973615,0.5557966067,2068.542088
4,100075,726,1460,0,0,6,0,0,-4,439,27,1,1,1,70.52907903,0.0006376787203,0.007206477739,0.01151072656,0.0409813162,0.1440277624,0.2000000104,1.450799921,3.0,5.0,5.0,7.0,7.0,9.0,34.0,0.0,0.0,0.0,1.570796327,1.570796327,1.570796327,3.141592654,1.023603265,1.69907031,2.468471861,4.301439963,17.43385376,45.98457134,10913.90611,0,0.04830758838,6.033057851,0.5521435791,43.45600922
5,100322,384,772,0,0,2,0,0,-2,0,0,1,1,1,14893.00806,0.000852825,0.4570531674,2.539565973,5.252053426,35.24001329,128.2473272,686.2665074,3.0,5.0,5.0,6.0,8.0,11.85,30.0,0.0,0.0,0.2094339811,1.570796327,1.570796327,1.570796327,2.578390479,1.01010924,1.621548877,3.239695348,17.31446936,51.56636093,331.7008252,45015150.9,1,19.29146122,6.03125,0.6133404809,62665.58936
6,100330,503,1010,0,0,1,0,0,-2,5,3,1,1,1,4193.861977,1.13e-06,0.2824803882,1.187346277,4.185556807,8.404521067,22.37394943,83.34845638,3.0,5.0,6.0,7.0,7.0,8.0,24.0,0.0,2.78e-06,0.0001950785288,1.570772551,1.570800873,2.194514373,3.141592654,1.006548803,1.595794798,2.922293092,9.42111513,56.36272166,585.8803085,4754112586.0,0,4.152338592,6.023856859,0.5116549245,6403234.826
7,100331,503,1010,0,0,1,0,0,-2,5,3,1,1,1,4193.86188,1.13e-06,0.2824801471,1.187346608,4.185556794,8.404513571,22.37398134,83.34845653,3.0,5.0,6.0,7.0,7.0,8.0,24.0,0.0,2.93e-06,0.0002017852074,1.570772515,1.570800873,2.194514365,3.141592654,1.006548792,1.595793376,2.922291399,9.421114407,56.36224954,585.8823208,4754122132.0,0,4.152338495,6.023856859,0.5117698996,6394991.033
8,100423,140,276,0,0,1,0,0,2,0,0,1,1,1,281.8541637,0.01602333378,0.5518274379,0.8707378134,1.256130535,1.775427219,2.064057886,9.393938444,4.0,6.0,6.0,6.0,6.0,6.0,9.0,0.0,0.1555358756,0.5148345962,0.928423231,1.507695473,1.636729653,2.380645558,1.002685292,1.4685857,2.054014209,3.342523611,5.565268414,7.671512353,20.40940042,1,1.021210738,5.914285714,0.6256758851,2.951318463
9,100471,7354,14708,0,0,1,0,0,0,6,3,1,1,1,29016.08921,2e-06,0.08736051644,0.4366339137,1.328164967,5.524939136,10.39062778,66.97822142,3.0,5.0,6.0,6.0,7.0,8.0,28.0,0.0,0.0,0.006094560608,0.1525862854,1.300642441,1.570796327,3.141592654,1.000492979,1.241326426,1.817720065,2.75465029,6.548841619,18.18924811,88949.3858,0,1.972809982,6.0,0.2184315299,36.4004948
