Thing ID,Date,Category,Sub-category,Name,Author,License
10367,2011-07-26T09:23:59,None,None,Octocat ,BrianEnigma,Creative Commons - Attribution - Share Alike
10955,2011-08-22T17:52:48,None,None,Spiral bevel gear ,GeneralRulofDumb,Creative Commons - Attribution - Share Alike
11322,2011-09-08T13:31:25,None,None,Coin Sorter and Counting/Wrapping Tubes ,HPaul,Creative Commons - Attribution - Share Alike
11598,2011-09-15T17:36:21,None,None,Domo Alliance Cookie Cutters ,freakinhuge,GNU - GPL
11599,2011-09-15T18:04:58,None,None,Enlightened Horns ,Sybren,GNU - GPL
11600,2011-09-15T18:07:35,None,None,Another MakerBot Mascot Contest Entry ,bohnded,Creative Commons - Attribution - Share Alike
11614,2011-09-16T09:57:09,None,None,bench vise jaw plates ,litwan,Creative Commons - Attribution - Share Alike
11618,2011-11-10T12:46:39,None,None,Hand and Arm for bunraku puppet ,owenscenic,Attribution - Non-Commercial - Share Alike
11625,2011-09-16T18:55:44,None,None,Yet Another Entry for the MakerBot Mascot ,bohnded,Creative Commons - Attribution - Share Alike
11629,2011-09-18T21:19:26,None,None,Text Ring ,Griffin_Nicoll,Attribution - Non-Commercial - Share Alike
11643,2011-09-17T22:41:58,None,None,Fusor Grid Winding Jig ,Triggur,Creative Commons - Attribution - Share Alike
11653,2011-09-18T02:26:53,None,None,3D-Printable Laser Cutter ,peter_,Creative Commons - Attribution - Share Alike
11654,2011-09-18T04:12:47,None,None,R. Maker - Mark I ,Mr_MegaTronic,Creative Commons - Attribution - Share Alike
11660,2011-09-18T09:13:41,None,None,Two Color World ,m6mafia,GNU - GPL
11663,2011-09-18T10:33:21,None,None,Shower Handle Holder ,Tinkerer,Creative Commons - Attribution - Share Alike
11672,2011-09-21T20:17:40,None,None,Toy Train for Wood Tracks ,sconine,Creative Commons - Attribution - Share Alike
11673,2011-09-18T14:56:07,None,None,Boston Row House (aka: brown stone) ,sconine,Creative Commons - Attribution - Share Alike
11682,2011-09-18T22:06:47,None,None,Magnet Toy ,DrWeidinger,Attribution - Non-Commercial - Share Alike
11687,2011-09-19T08:43:32,None,None,Two Colour(Color) Spiral Cup ,MakeALot,Creative Commons - Attribution - Non-Commercial
11691,2011-09-19T10:52:36,toys-and-games,,Tiny Toy Dump Truck for dual extruder ,cymon,Public Domain
11705,2011-09-19T13:56:55,None,None,Squirrel ,MBCook,Creative Commons - Attribution - Share Alike
11710,2011-09-19T20:09:42,None,None,SOTC Model Cleanup Test ,Lenbok,Creative Commons - Attribution - Share Alike
11711,2011-09-19T20:48:07,gadgets,camera,iPhone 4 Tripod Mount by TheNewHob,ist,Creative Commons - Attribution - Non-Commercial
11742,2011-09-20T21:12:35,3d-printing,3d-printer-accessories,Filament Colorizer - Marker Holder For 3mm filament ,cyclone,Creative Commons - Attribution - Share Alike
11761,2011-09-21T02:36:58,None,None,iSight Clamp for ToM ,quadrivia,Creative Commons - Attribution - Share Alike
11776,2011-09-21T12:44:04,None,None,Dirt Tire and Rim ,JimmyDean,Creative Commons - Attribution - Share Alike
11782,2011-09-21T21:33:06,None,None,Laser Chess ,colah,Creative Commons - Attribution - Share Alike
11790,2011-09-24T02:37:54,None,None,Crab/Nut Cracker ,Griffin_Nicoll,Creative Commons - Attribution - Share Alike
11791,2011-09-21T23:23:51,None,None,REPLICANT - g ,LorenIPSVM,Creative Commons - Attribution - Share Alike
11796,2011-09-22T08:54:06,None,None,Recorder (instrument) ,cymon,Creative Commons - Attribution - Share Alike
11810,2011-09-22T18:45:03,None,None,Little Green Men (flying saucer pilots) ,gpvillamil,Attribution - Non-Commercial - Share Alike
11814,2011-09-22T22:20:29,None,None,Robot Head TP Holder ,jag,Public Domain
11816,2011-09-23T00:54:12,None,None,High Quality Pliers made ready for ReplicatorG ,danman,Creative Commons - Attribution - Share Alike
11825,2011-09-23T12:57:04,None,None,Minecraft Creeper ,kyle170,Creative Commons - Attribution - Share Alike
11835,2011-09-23T20:59:21,None,None,Stacking Logs for a Log Cabin ,sconine,Creative Commons - Attribution - Share Alike
11836,2011-09-24T00:45:45,None,None,Functional Differential Gear System ,Thing-O-Fun,Creative Commons - Attribution - Share Alike
11839,2011-09-24T02:37:55,None,None,Air Pressure (or Steam) Engine ,MakerCubed,Creative Commons - Attribution - Share Alike
11855,2011-09-24T20:56:14,None,None,Mbot Logo Transformer ,Plasticguy,Creative Commons - Attribution - Share Alike
11860,2011-09-25T00:54:32,models,props,Geordi La Forge&#039;s Visor (Star Trek) ,MrJohn,Creative Commons - Attribution - Share Alike
11869,2011-09-25T09:39:17,None,None,Demon tail for Halloween costume. ,GeekyDad,Creative Commons - Attribution - Share Alike
11882,2011-09-25T13:27:18,household,kitchen-and-dining,Hook for hanging pots and pans ,PolygonPusher,Creative Commons - Attribution - Share Alike
11906,2011-09-25T19:57:32,None,None,Parametric fan grille ,jridley,Creative Commons - Public Domain Dedication
11919,2011-09-26T12:05:53,None,None,MakerBot Mascot Transformer ,kir_ari,Creative Commons - Attribution - Share Alike
11934,2011-09-26T19:42:09,None,None,Umbrella stay tip ,Stephenwinter,Creative Commons - Attribution - Share Alike
11945,2011-09-27T00:38:09,None,None,6 Hole Flute ,tbuser,Attribution - Non-Commercial - Share Alike
11953,2011-09-27T12:17:42,art,sculptures,Elvis; the Printable(?) Skull ,HPaul,Creative Commons - Attribution - Share Alike
11968,2011-09-27T17:25:25,None,None,Mark II ,PabloFerroDesign,Creative Commons - Public Domain Dedication
11978,2011-09-28T03:47:01,None,None,Cable Chain ,RotoScan,Creative Commons - Attribution - Share Alike
11980,2011-10-12T06:54:24,None,None,Mechanical Animals ,sconine,Creative Commons - Attribution - Share Alike
11995,2011-09-28T16:46:25,None,None,Make-a-bot ,vVdesign,Creative Commons - Attribution - Share Alike
11996,2011-09-28T19:10:24,models,vehicles,Sports Model Flying Saucer (two tone version) ,gpvillamil,Creative Commons - Attribution - Non-Commercial
12005,2011-09-29T01:04:14,None,None,Makerbot Mascot ,aylr,Creative Commons - Attribution - Non-Commercial
12006,2011-09-29T01:07:24,None,None,Magneto Helmet: X-men First Class ,Landru,GNU - GPL
12034,2011-09-29T17:39:36,None,None,Snowflake ,JonMonaghan,Creative Commons - Attribution
12037,2011-09-29T18:17:47,None,None,AtFAB Chair Mini ,AtFab,Creative Commons - Attribution - Non-Commercial
12040,2011-09-29T20:17:10,None,None,AtFAB Chair Foot and Peg Kit ,AtFab,Creative Commons - Attribution - Non-Commercial
12053,2011-10-10T18:42:35,None,None,Springamathing 1.0 ,Landru,GNU - GPL
